student.id	student.name	student.grade	student.zscore	1	2	3	4	5	6	7	8	单选题	填空题	多选题	简答题	编程题
2014052121	王三	93	 1.52704	100.00	92.31	100.00	 78.57	86.67	100.00	100.000	95.45	 97.5	 80	86.67	 90	100.00
2014052118	李酒	92	 1.45243	100.00	92.31	100.00	100.00	93.33	100.00	 85.714	81.82	100.0	 90	86.67	 95	 73.33
2014052122	王思	92	 1.45243	100.00	92.31	100.00	100.00	93.33	100.00	 85.714	81.82	100.0	100	80.00	 95	 73.33
2014052123	王五	92	 1.45243	100.00	92.31	100.00	 92.86	93.33	100.00	 85.714	86.36	 95.0	 90	86.67	 95	 86.67
2014052116	李琦	85	 0.93015	100.00	92.31	 93.75	 92.86	80.00	100.00	 78.571	72.73	 97.5	 90	60.00	 90	 66.67
2014052119	王毅	85	 0.93015	100.00	84.62	 93.75	100.00	73.33	100.00	 71.429	81.82	 92.5	 80	73.33	 90	 73.33
2014052113	李四	84	 0.85554	100.00	84.62	100.00	 92.86	80.00	 66.67	 71.429	77.27	 92.5	 80	66.67	 85	 80.00
2014052107	张琪	81	 0.63171	100.00	84.62	 87.50	 57.14	60.00	100.00	 85.714	95.45	 87.5	 80	53.33	 80	 93.33
2014052120	王二	81	 0.63171	100.00	76.92	 93.75	 85.71	80.00	100.00	 71.429	72.73	 92.5	 70	66.67	 80	 73.33
2014052128	赵毅	81	 0.63171	100.00	84.62	 93.75	 85.71	80.00	100.00	 50.000	81.82	 92.5	 80	60.00	 80	 73.33
2014052130	赵三	79	 0.48248	100.00	84.62	 87.50	 71.43	80.00	100.00	 78.571	68.18	 92.5	 90	53.33	 85	 53.33
2014052104	张思	78	 0.40787	100.00	76.92	 93.75	 71.43	73.33	 66.67	 64.286	81.82	 87.5	 80	60.00	 75	 73.33
2014052108	张吧	77	 0.33326	 66.67	76.92	 87.50	 64.29	73.33	100.00	 71.429	81.82	 85.0	 70	73.33	 70	 73.33
2014052129	赵二	76	 0.25865	 66.67	76.92	 87.50	 78.57	66.67	100.00	 64.286	77.27	 80.0	 90	53.33	 80	 73.33
2014052102	张二	75	 0.18404	 66.67	84.62	 93.75	 64.29	80.00	 66.67	 71.429	63.64	 87.5	 70	66.67	 70	 60.00
2014052103	张三	74	 0.10943	100.00	84.62	 81.25	 71.43	80.00	100.00	 71.429	54.55	 87.5	 50	66.67	 80	 53.33
2014052111	李二	73	 0.03482	100.00	92.31	 93.75	 92.86	53.33	 66.67	 42.857	63.64	 80.0	 80	33.33	100	 53.33
2014052117	李八	69	-0.26363	100.00	92.31	 81.25	 64.29	46.67	100.00	 78.571	50.00	 77.5	 80	66.67	 75	 33.33
2014052124	王柳	68	-0.33824	100.00	76.92	 81.25	 78.57	60.00	 66.67	 57.143	54.55	 75.0	 70	53.33	 80	 46.67
2014052126	王霸	68	-0.33824	100.00	61.54	 81.25	 85.71	53.33	 33.33	 57.143	68.18	 77.5	 70	40.00	 70	 66.67
2014052114	李武	66	-0.48746	100.00	76.92	 81.25	 57.14	53.33	100.00	 64.286	54.55	 70.0	 70	60.00	 75	 46.67
2014052127	王九	66	-0.48746	100.00	76.92	 93.75	 57.14	46.67	100.00	 57.143	54.55	 70.0	 70	66.67	 75	 40.00
2014052106	张柳	60	-0.93512	100.00	61.54	 68.75	 64.29	53.33	 66.67	 42.857	59.09	 60.0	 60	40.00	 75	 60.00
2014052110	李毅	60	-0.93512	100.00	84.62	 75.00	 71.43	40.00	 33.33	 42.857	50.00	 62.5	 60	40.00	 80	 46.67
2014052115	李留	60	-0.93512	 66.67	69.23	 81.25	 64.29	60.00	 66.67	 35.714	50.00	 75.0	 40	46.67	 65	 40.00
2014052112	李三	59	-1.00973	100.00	84.62	 62.50	 64.29	60.00	 33.33	 57.143	36.36	 55.0	 70	40.00	 90	 40.00
2014052101	张毅	58	-1.08435	 33.33	76.92	 75.00	 42.86	66.67	 66.67	 50.000	45.45	 70.0	 50	20.00	 75	 46.67
2014052109	张九	52	-1.53201	 33.33	53.85	 56.25	 64.29	53.33	 66.67	 50.000	40.91	 62.5	 20	13.33	 75	 53.33
2014052125	王琦	51	-1.60662	 66.67	69.23	 56.25	 50.00	40.00	 66.67	 57.143	36.36	 65.0	 40	20.00	 60	 40.00
2014052105	张武	41	-2.35273	100.00	38.46	 50.00	 42.86	60.00	 33.33	  7.143	36.36	 47.5	 30	26.67	 45	 40.00
